governor,state,year,party
John Calvin Coolidge,Massachusetts,1919,Republican
Albert Edson Sleeper,Michigan,1919,Republican
Joseph Alfred Arner Burnquist,Minnesota,1919,Republican
Theodore Gilmore Bilbo,Mississippi,1919,Democratic
Frederick Dozier Gardner,Missouri,1919,Democratic
Samuel Vernon Stewart,Montana,1919,Democratic
Samuel Roy McKelvie,Nebraska,1919,Republican
Emmet Derby Boyle,Nevada,1919,Democratic
John Henry Bartlett,New Hampshire,1919,Republican
William Nelson Runyon,New Jersey,1919,Republican
Octaviano Ambrosio Larrazolo,New Mexico,1919,Republican
Alfred Emanuel Smith,New York,1919,Democratic
Thomas Walter Bickett,North Carolina,1919,Democratic
Lynn Joseph Frazier,North Dakota,1919,Republican (Nonpartisan League)
James Middleton Cox,Ohio,1919,Democratic
James Brooks Ayers Robertson,Oklahoma,1919,Democrat
Ben Olcott,Oregon,1919,Republican
William Cameron Sproul,Pennsylvania,1919,Republican
Robert Livingston Beeckman,Rhode Island,1919,Republican
Robert Archer Cooper,South Carolina,1919,Democrat
Peter Norbeck,South Dakota,1919,Republican
Albert Houston Roberts,Tennessee,1919,Democrat
William Pettus Hobby,Texas,1919,Democrat
Simon Bamberger,Utah,1919,Democrat
Percival W. Clement,Vermont,1919,Republican
Westmoreland Davis,Virginia,1919,Democrat
Louis Folwell Hart,Washington,1919,Republican
John Jacob Cornwell,West Virginia,1919,Democrat
Emanuel L. Philipp,Wisconsin,1919,Republican
Robert Davis Carey,Wyoming,1919,Republican
Charles Henderson,Alabama,1918,Democrat
George Wylie Hunt,Arizona,1918,Democrat
Charles Hillman Brough,Arkansas,1918,Democrat
William Dennison Stephens,California,1918,Republican
Julius Caldeen Gunter,Colorado,1918,Democrat
Marcus Hensey Holcomb,Connecticut,1918,Republican
John Gillis Townsend,Delaware,1918,Republican
Sidney Johnston Catts,Florida,1918,"Democrat, Prohibition"
Hugh Manson Dorsey,Georgia,1918,Democrat
Moses Alexander,Idaho,1918,Democrat
Frank Orren Lowden,Illinois,1918,Republican
James Putnam Goodrich,Indiana,1918,Republican
William Lloyd Harding,Iowa,1918,Republican
Arthur Capper,Kansas,1918,Republican
Augustus Owsley Stanley,Kentucky,1918,Democratic
Ruffin G. Pleasant,Louisiana,1918,Democrat
Carl Elias Milliken,Maine,1918,Republican
Emerson Columbus Harrington,Maryland,1918,Democrat
Samuel Walker McCall,Massachusetts,1918,Republican
Albert Edson Sleeper,Michigan,1918,Republican
Joseph Alfred Arner Burnquist,Minnesota,1918,Republican
Theodore Gilmore Bilbo,Mississippi,1918,Democratic
Frederick Dozier Gardner,Missouri,1918,Democratic
Samuel Vernon Stewart,Montana,1918,Democratic
Keith M. Neville,Nebraska,1918,Democratic
Emmet Derby Boyle,Nevada,1918,Democratic
Henry Wilder Keyes,New Hampshire,1918,Republican
Walter Evans Edge,New Jersey,1918,Republican
Washington Ellsworth Lindsey,New Mexico,1918,Republican
Charles Seymour Whitman,New York,1918,Republican
Thomas Walter Bickett,North Carolina,1918,Democratic
Lynn Joseph Frazier,North Dakota,1918,Republican (Nonpartisan League)
James Middleton Cox,Ohio,1918,Democratic
Robert Lee Williams,Oklahoma,1918,Democrat
James Withycombe,Oregon,1918,Republican
Martin Grove Brumbaugh,Pennsylvania,1918,Republican
Robert Livingston Beeckman,Rhode Island,1918,Republican
Richard Irvine Manning III,South Carolina,1918,Democrat
Peter Norbeck,South Dakota,1918,Republican
Thomas Clarke Rye,Tennessee,1918,Democrat
William Pettus Hobby,Texas,1918,Democrat
Simon Bamberger,Utah,1918,Democrat
Horace French Graham,Vermont,1918,Republican
Westmoreland Davis,Virginia,1918,Democrat
Ernest Lister,Washington,1918,Democrat
John Jacob Cornwell,West Virginia,1918,Democrat
Emanuel L. Philipp,Wisconsin,1918,Republican
Frank L. Houx,Wyoming,1918,Democrat
Charles Henderson,Alabama,1917,Democrat
George Wylie Hunt,Arizona,1917,Democrat
Charles Hillman Brough,Arkansas,1917,Democrat
William Dennison Stephens,California,1917,Republican
Julius Caldeen Gunter,Colorado,1917,Democrat
Marcus Hensey Holcomb,Connecticut,1917,Republican
John Gillis Townsend,Delaware,1917,Republican
Sidney Johnston Catts,Florida,1917,"Democrat, Prohibition"
Hugh Manson Dorsey,Georgia,1917,Democrat
Moses Alexander,Idaho,1917,Democrat
Frank Orren Lowden,Illinois,1917,Republican
James Putnam Goodrich,Indiana,1917,Republican
William Lloyd Harding,Iowa,1917,Republican
Arthur Capper,Kansas,1917,Republican
Augustus Owsley Stanley,Kentucky,1917,Democratic
Ruffin G. Pleasant,Louisiana,1917,Democrat
Carl Elias Milliken,Maine,1917,Republican
Emerson Columbus Harrington,Maryland,1917,Democrat
Samuel Walker McCall,Massachusetts,1917,Republican
Albert Edson Sleeper,Michigan,1917,Republican
Joseph Alfred Arner Burnquist,Minnesota,1917,Republican
Theodore Gilmore Bilbo,Mississippi,1917,Democratic
Frederick Dozier Gardner,Missouri,1917,Democratic
Samuel Vernon Stewart,Montana,1917,Democratic
Keith M. Neville,Nebraska,1917,Democratic
Emmet Derby Boyle,Nevada,1917,Democratic
Henry Wilder Keyes,New Hampshire,1917,Republican
Walter Evans Edge,New Jersey,1917,Republican
Washington Ellsworth Lindsey,New Mexico,1917,Republican
Charles Seymour Whitman,New York,1917,Republican
Thomas Walter Bickett,North Carolina,1917,Democratic
Lynn Joseph Frazier,North Dakota,1917,Republican (Nonpartisan League)
James Middleton Cox,Ohio,1917,Democratic
Robert Lee Williams,Oklahoma,1917,Democrat
James Withycombe,Oregon,1917,Republican
Martin Grove Brumbaugh,Pennsylvania,1917,Republican
Robert Livingston Beeckman,Rhode Island,1917,Republican
Richard Irvine Manning III,South Carolina,1917,Democrat
Peter Norbeck,South Dakota,1917,Republican
Thomas Clarke Rye,Tennessee,1917,Democrat
William Pettus Hobby,Texas,1917,Democrat
Simon Bamberger,Utah,1917,Democrat
Horace French Graham,Vermont,1917,Republican
Henry Carter Stuart,Virginia,1917,Democrat
Ernest Lister,Washington,1917,Democrat
John Jacob Cornwell,West Virginia,1917,Democrat
Emanuel L. Philipp,Wisconsin,1917,Republican
Frank L. Houx,Wyoming,1917,Democrat
Charles Henderson,Alabama,1916,Democrat
George Wylie Hunt,Arizona,1916,Democrat
George Washington Hays,Arkansas,1916,Democrat
Hiram Warren Johnson,California,1916,"Republican, Progressive"
George Alfred Carlson,Colorado,1916,Republican
Marcus Hensey Holcomb,Connecticut,1916,Republican
Charles Robert Miller,Delaware,1916,Republican
Park Trammell,Florida,1916,Democrat
Nathaniel Edwin Harris,Georgia,1916,Democrat
Moses Alexander,Idaho,1916,Democrat
Edward Fitzsimmons Dunne,Illinois,1916,Democrat
Samuel Moffett Ralston,Indiana,1916,Democrat
George Washington Clarke,Iowa,1916,Republican
Arthur Capper,Kansas,1916,Republican
Augustus Owsley Stanley,Kentucky,1916,Democratic
Ruffin G. Pleasant,Louisiana,1916,Democrat
Oakley Chester Curtis,Maine,1916,Democratic
Emerson Columbus Harrington,Maryland,1916,Democrat
Samuel Walker McCall,Massachusetts,1916,Republican
Woodbridge Nathan Ferris,Michigan,1916,Democratic
Joseph Alfred Arner Burnquist,Minnesota,1916,Republican
Theodore Gilmore Bilbo,Mississippi,1916,Democratic
Elliot Woolfolk Major,Missouri,1916,Democratic
Samuel Vernon Stewart,Montana,1916,Democratic
John Henry Morehead,Nebraska,1916,Democratic
Emmet Derby Boyle,Nevada,1916,Democratic
Rolland Harty Spaulding,New Hampshire,1916,Republican
James Fairman Fielder,New Jersey,1916,Democratic
William Calhoun McDonald,New Mexico,1916,Democratic
Charles Seymour Whitman,New York,1916,Republican
Locke Craig,North Carolina,1916,Democratic
Louis Benjamin Hanna,North Dakota,1916,Republican
Frank Bartlett Willis,Ohio,1916,Republican
Robert Lee Williams,Oklahoma,1916,Democrat
James Withycombe,Oregon,1916,Republican
Martin Grove Brumbaugh,Pennsylvania,1916,Republican
Robert Livingston Beeckman,Rhode Island,1916,Republican
Richard Irvine Manning III,South Carolina,1916,Democrat
Frank M. Byrne,South Dakota,1916,Republican
Thomas Clarke Rye,Tennessee,1916,Democrat
James Edward Ferguson,Texas,1916,Democrat
William Spry,Utah,1916,Republican
Charles W. Gates,Vermont,1916,Republican
Henry Carter Stuart,Virginia,1916,Democrat
Ernest Lister,Washington,1916,Democrat
Henry Drury Hatfield,West Virginia,1916,Republican
Emanuel L. Philipp,Wisconsin,1916,Republican
John Benjamin Kendrick,Wyoming,1916,Democrat
Charles Henderson,Alabama,1915,Democrat
George Wylie Hunt,Arizona,1915,Democrat
George Washington Hays,Arkansas,1915,Democrat
Hiram Warren Johnson,California,1915,"Republican, Progressive"
George Alfred Carlson,Colorado,1915,Republican
Marcus Hensey Holcomb,Connecticut,1915,Republican
Charles Robert Miller,Delaware,1915,Republican
Park Trammell,Florida,1915,Democrat
Nathaniel Edwin Harris,Georgia,1915,Democrat
Moses Alexander,Idaho,1915,Democrat
Edward Fitzsimmons Dunne,Illinois,1915,Democrat
Samuel Moffett Ralston,Indiana,1915,Democrat
George Washington Clarke,Iowa,1915,Republican
Arthur Capper,Kansas,1915,Republican
Augustus Owsley Stanley,Kentucky,1915,Democratic
Luther Egbert Hall,Louisiana,1915,Democrat
Oakley Chester Curtis,Maine,1915,Democratic
Phillips Lee Goldsborough,Maryland,1915,Republican
David Ignatius Walsh,Massachusetts,1915,Democratic
Woodbridge Nathan Ferris,Michigan,1915,Democratic
Joseph Alfred Arner Burnquist,Minnesota,1915,Republican
Earl Leroy Brewer,Mississippi,1915,Democratic
Elliot Woolfolk Major,Missouri,1915,Democratic
Samuel Vernon Stewart,Montana,1915,Democratic
John Henry Morehead,Nebraska,1915,Democratic
Emmet Derby Boyle,Nevada,1915,Democratic
Rolland Harty Spaulding,New Hampshire,1915,Republican
James Fairman Fielder,New Jersey,1915,Democratic
William Calhoun McDonald,New Mexico,1915,Democratic
Charles Seymour Whitman,New York,1915,Republican
Locke Craig,North Carolina,1915,Democratic
Louis Benjamin Hanna,North Dakota,1915,Republican
Frank Bartlett Willis,Ohio,1915,Republican
Robert Lee Williams,Oklahoma,1915,Democrat
James Withycombe,Oregon,1915,Republican
Martin Grove Brumbaugh,Pennsylvania,1915,Republican
Robert Livingston Beeckman,Rhode Island,1915,Republican
Richard Irvine Manning III,South Carolina,1915,Democrat
Frank M. Byrne,South Dakota,1915,Republican
Thomas Clarke Rye,Tennessee,1915,Democrat
James Edward Ferguson,Texas,1915,Democrat
William Spry,Utah,1915,Republican
Charles W. Gates,Vermont,1915,Republican
Henry Carter Stuart,Virginia,1915,Democrat
Ernest Lister,Washington,1915,Democrat
Henry Drury Hatfield,West Virginia,1915,Republican
Emanuel L. Philipp,Wisconsin,1915,Republican
John Benjamin Kendrick,Wyoming,1915,Democrat
Emmet O'Neal,Alabama,1914,Democrat
George Wylie Hunt,Arizona,1914,Democrat
George Washington Hays,Arkansas,1914,Democrat
Hiram Warren Johnson,California,1914,"Republican, Progressive"
Elias Milton Ammons,Colorado,1914,Democrat
Simeon Eben Baldwin,Connecticut,1914,Democrat
Charles Robert Miller,Delaware,1914,Republican
Park Trammell,Florida,1914,Democrat
John Marshall Slaton,Georgia,1914,Democrat
John Michiner Haines,Idaho,1914,Republican
Edward Fitzsimmons Dunne,Illinois,1914,Democrat
Samuel Moffett Ralston,Indiana,1914,Democrat
George Washington Clarke,Iowa,1914,Republican
George Hartshorn Hodges,Kansas,1914,Democrat
James Bennett McCreary,Kentucky,1914,Democratic
Luther Egbert Hall,Louisiana,1914,Democrat
William Thomas Haines,Maine,1914,Republican
Phillips Lee Goldsborough,Maryland,1914,Republican
David Ignatius Walsh,Massachusetts,1914,Democratic
Woodbridge Nathan Ferris,Michigan,1914,Democratic
Adolph Olson Eberhart,Minnesota,1914,Republican
Earl Leroy Brewer,Mississippi,1914,Democratic
Elliot Woolfolk Major,Missouri,1914,Democratic
Samuel Vernon Stewart,Montana,1914,Democratic
John Henry Morehead,Nebraska,1914,Democratic
Tasker Lowndes Oddie,Nevada,1914,Republican
Samuel Demeritt Felker,New Hampshire,1914,Democratic
James Fairman Fielder,New Jersey,1914,Democratic
William Calhoun McDonald,New Mexico,1914,Democratic
Martin Henry Glynn,New York,1914,Democratic
Locke Craig,North Carolina,1914,Democratic
Louis Benjamin Hanna,North Dakota,1914,Republican
James Middleton Cox,Ohio,1914,Democratic
Lee Cruce,Oklahoma,1914,Democrat
Oswald West,Oregon,1914,Democrat
John Kinley Tener,Pennsylvania,1914,Republican
Aram Pothier,Rhode Island,1914,Republican
Coleman Livingston Blease,South Carolina,1914,Democrat
Frank M. Byrne,South Dakota,1914,Republican
Ben Walter Hooper,Tennessee,1914,Republican
Oscar Branch Colquitt,Texas,1914,Democrat
William Spry,Utah,1914,Republican
Allen M. Fletcher,Vermont,1914,Republican
Henry Carter Stuart,Virginia,1914,Democrat
Ernest Lister,Washington,1914,Democrat
Henry Drury Hatfield,West Virginia,1914,Republican
Francis E. McGovern,Wisconsin,1914,Republican
Joseph Maull Carey,Wyoming,1914,Democrat
Emmet O'Neal,Alabama,1913,Democrat
George Wylie Hunt,Arizona,1913,Democrat
George Washington Hays,Arkansas,1913,Democrat
Hiram Warren Johnson,California,1913,"Republican, Progressive"
Elias Milton Ammons,Colorado,1913,Democrat
Simeon Eben Baldwin,Connecticut,1913,Democrat
Charles Robert Miller,Delaware,1913,Republican
Park Trammell,Florida,1913,Democrat
John Marshall Slaton,Georgia,1913,Democrat
John Michiner Haines,Idaho,1913,Republican
Edward Fitzsimmons Dunne,Illinois,1913,Democrat
Samuel Moffett Ralston,Indiana,1913,Democrat
George Washington Clarke,Iowa,1913,Republican
George Hartshorn Hodges,Kansas,1913,Democrat
James Bennett McCreary,Kentucky,1913,Democratic
Luther Egbert Hall,Louisiana,1913,Democrat
William Thomas Haines,Maine,1913,Republican
Phillips Lee Goldsborough,Maryland,1913,Republican
Eugene Noble Foss,Massachusetts,1913,Democratic
Woodbridge Nathan Ferris,Michigan,1913,Democratic
Adolph Olson Eberhart,Minnesota,1913,Republican
Earl Leroy Brewer,Mississippi,1913,Democratic
Elliot Woolfolk Major,Missouri,1913,Democratic
Samuel Vernon Stewart,Montana,1913,Democratic
John Henry Morehead,Nebraska,1913,Democratic
Tasker Lowndes Oddie,Nevada,1913,Republican
Samuel Demeritt Felker,New Hampshire,1913,Democratic
Leon R. Taylor,New Jersey,1913,Democratic
William Calhoun McDonald,New Mexico,1913,Democratic
Martin Henry Glynn,New York,1913,Democratic
Locke Craig,North Carolina,1913,Democratic
Louis Benjamin Hanna,North Dakota,1913,Republican
James Middleton Cox,Ohio,1913,Democratic
Lee Cruce,Oklahoma,1913,Democrat
Oswald West,Oregon,1913,Democrat
John Kinley Tener,Pennsylvania,1913,Republican
Aram Pothier,Rhode Island,1913,Republican
Coleman Livingston Blease,South Carolina,1913,Democrat
Frank M. Byrne,South Dakota,1913,Republican
Ben Walter Hooper,Tennessee,1913,Republican
Oscar Branch Colquitt,Texas,1913,Democrat
William Spry,Utah,1913,Republican
Allen M. Fletcher,Vermont,1913,Republican
William Hodges Mann,Virginia,1913,Democrat
Ernest Lister,Washington,1913,Democrat
Henry Drury Hatfield,West Virginia,1913,Republican
Francis E. McGovern,Wisconsin,1913,Republican
Joseph Maull Carey,Wyoming,1913,Democrat
Emmet O'Neal,Alabama,1912,Democrat
George Wylie Hunt,Arizona,1912,Democrat
George W. Donaghey,Arkansas,1912,Democrat
Hiram Warren Johnson,California,1912,"Republican, Progressive"
John Franklin Shafroth,Colorado,1912,"Republican, Democrat"
Simeon Eben Baldwin,Connecticut,1912,Democrat
Simeon Selby Pennewill,Delaware,1912,Republican
Albert Waller Gilchrist,Florida,1912,Democrat
Joseph Emerson Brown,Georgia,1912,Democrat
James H. Hawley,Idaho,1912,Democrat
Charles Samuel Deneen,Illinois,1912,Republican
Thomas Riley Marshall,Indiana,1912,Democrat
Beryl Franklin Carroll,Iowa,1912,Republican
Walter Roscoe Stubbs,Kansas,1912,Republican
James Bennett McCreary,Kentucky,1912,Democratic
Luther Egbert Hall,Louisiana,1912,Democrat
Frederick William Plaisted,Maine,1912,Democratic
Phillips Lee Goldsborough,Maryland,1912,Republican
Eugene Noble Foss,Massachusetts,1912,Democratic
Chase Salmon Osborn,Michigan,1912,Republican
Adolph Olson Eberhart,Minnesota,1912,Republican
Earl Leroy Brewer,Mississippi,1912,Democratic
Herbert Spencer Hadley,Missouri,1912,Republican
Edwin Lee Norris,Montana,1912,Democratic
Chester Hardy Aldrich,Nebraska,1912,Republican
Tasker Lowndes Oddie,Nevada,1912,Republican
Robert Perkins Bass,New Hampshire,1912,Republican
Thomas Woodrow Wilson,New Jersey,1912,Democratic
William Calhoun McDonald,New Mexico,1912,Democratic
John Alden Dix,New York,1912,Democratic
William Walton Kitchin,North Carolina,1912,Democratic
John Burke,North Dakota,1912,Democratic
Judson Harmon,Ohio,1912,Democrat
Lee Cruce,Oklahoma,1912,Democrat
Oswald West,Oregon,1912,Democrat
John Kinley Tener,Pennsylvania,1912,Republican
Aram Pothier,Rhode Island,1912,Republican
Coleman Livingston Blease,South Carolina,1912,Democrat
Robert Scadden Vessey,South Dakota,1912,Republican
Ben Walter Hooper,Tennessee,1912,Republican
Oscar Branch Colquitt,Texas,1912,Democrat
William Spry,Utah,1912,Republican
Allen M. Fletcher,Vermont,1912,Republican
William Hodges Mann,Virginia,1912,Democrat
Marion E. Hay,Washington,1912,Republican
William E. Glasscock,West Virginia,1912,Republican
Francis E. McGovern,Wisconsin,1912,Republican
Joseph Maull Carey,Wyoming,1912,Democrat
Emmet O'Neal,Alabama,1911,Democrat
George Wylie Hunt,Arizona,1911,Democrat
George W. Donaghey,Arkansas,1911,Democrat
Hiram Warren Johnson,California,1911,"Republican, Progressive"
John Franklin Shafroth,Colorado,1911,"Republican, Democrat"
Simeon Eben Baldwin,Connecticut,1911,Democrat
Simeon Selby Pennewill,Delaware,1911,Republican
Albert Waller Gilchrist,Florida,1911,Democrat
John Marshall Slaton,Georgia,1911,Democrat
James H. Hawley,Idaho,1911,Democrat
Charles Samuel Deneen,Illinois,1911,Republican
Thomas Riley Marshall,Indiana,1911,Democrat
Beryl Franklin Carroll,Iowa,1911,Republican
Walter Roscoe Stubbs,Kansas,1911,Republican
James Bennett McCreary,Kentucky,1911,Democratic
Jared Young Sanders,Louisiana,1911,Democrat
Frederick William Plaisted,Maine,1911,Democratic
Austin Lane Crothers,Maryland,1911,Democrat
Eugene Noble Foss,Massachusetts,1911,Democratic
Chase Salmon Osborn,Michigan,1911,Republican
Adolph Olson Eberhart,Minnesota,1911,Republican
Edmond Favor Noel,Mississippi,1911,Democratic
Herbert Spencer Hadley,Missouri,1911,Republican
Edwin Lee Norris,Montana,1911,Democratic
Chester Hardy Aldrich,Nebraska,1911,Republican
Tasker Lowndes Oddie,Nevada,1911,Republican
Robert Perkins Bass,New Hampshire,1911,Republican
Thomas Woodrow Wilson,New Jersey,1911,Democratic
John Alden Dix,New York,1911,Democratic
William Walton Kitchin,North Carolina,1911,Democratic
John Burke,North Dakota,1911,Democratic
Judson Harmon,Ohio,1911,Democrat
Lee Cruce,Oklahoma,1911,Democrat
Oswald West,Oregon,1911,Democrat
